Title,Author,Year,Genre_ID,Genre,Llength_in_pagesength (in pages),Rating_ID,Rating
Harry Potter and the Philospher's Stone,J. K. Rowling,1997,1,Fantasy,223,1,Everyone
Harry Potter and the Champer of Secrets,J. K. Rowling,1998,1,Fantasy,251,1,Everyone
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,1,Fantasy,317,1,Everyone
Harry Potter and the Goblet of Fire,J. K. Rowling,2000,1,Fantasy,636,1,Everyone
Harry Potter and the Order of the Pheonix,J. K. Rowling,2003,1,Fantasy,766,1,Everyone
Harry Potter and the Half-Blood Prince,J. K. Rowling,2005,1,Fantasy,607,1,Everyone
Harry Potter and the Deathly Hallows,J. K. Rowling,2007,1,Fantasy,607,1,Everyone
To Kill a Mockingbird,Harper Lee,1960,2,Bildungsroman,281,3,Teen
The Hunger Games,Suzanne Collins,2008,3,Dystopian,347,3,Teen
Charlotte's Web,E. B. White,1952,4,Children's,192,2,Kids
Green Eggs and Ham,Dr Seuss,1960,4,Children's,20,2,Kids
Sisterhood of the Travelling Pants,Ann Brashares,2001,5,Drama,320,3,Teen
Gone Girl,Gillian Flynn,2012,6,Thriller,432,4,Adult
I know Why the Caged Bird Sings,Maya Angelou,1969,7,Autobiography ,304,4,Adult
